label,x,y
南汇1021(世纪联华),121.7700896,31.05894643
广东省顺德区大良澣辉源食品商行,113.2557574,22.84339687
杭州萧山商业城照照食品经营部,120.2983163,30.17008619
宛平南路--金,121.4514618,31.20293804
永兴小黄,113.1983933,26.21649169
泗县益家商贸有限公司,117.890359,33.54434654
济南历下大润发商贸有限公司,117.1015858,36.65933858
联华加盟预付（芦恒店）,117.588382,37.64821334
乐购统仓,113.6963944,22.82901321
爱森肉食品有限公司,122.422124,37.17547685
南充顺庆斗牛士牛排馆红光路店,106.0924158,30.78272357
上海爱森肉食品有限公司加工厂,121.4445063,31.23074913
广东保辉建筑工程有限公司,113.3360633,23.14912386
上海宝山区安达路241号,121.4969181,31.36743532
开吧-建国路（开啤屋餐饮有限公司卢湾分公司）,121.481238,31.21334838
碧江（家得利）,109.193705,27.71613652
上海市松江区洞泾镇肥莲副食品经营部,121.2756047,31.0873463
上海第一食品连锁发展有限公司旗舰店,121.4833633,31.24133637
金山区社会福利院,121.355913,30.72583393
山东菏泽定陶新旭奶粉店,115.6294197,35.1036257
上海九海百盛广场有限公司,121.4660667,31.22347254
萧山田东风（杭州万众贸易有限公司）,120.3890807,30.17289384
广州市花都区连兴副食品厂,113.2201755,23.446661
如海加盟（九亭店）预付,121.3415151,31.1453564
吉卖盛超市加盟,118.9906366,33.71534055
上海翰丰谷物有限公司,121.4878995,31.24916171
无为县严桥琦王食品有限公司上海宝山第二分公司,121.4090412,31.39862269
铜川路-谢富权,121.4261338,31.26048698
八号桥156#,121.4773367,31.2167807
百色联华超市（专卖加盟）,106.6318214,23.90151237
丰益贸易（中国）私人有限公司,113.1510309,23.20104833
湖北武汉-祁荷花,114.3162001,30.58108413
上海肯德基有限公司申月餐厅,121.5403319,31.07525539
齐齐哈尔91(伍缘折扣超市),123.9872889,47.34769981
长江易买得,114.31072,30.57804248
沈阳市和平区福万家食品商行,123.4143317,41.7864744
上海尚口香实业有限公司,121.4878995,31.24916171
上海海底捞实业有限公司,121.4878995,31.24916171
澳尤威（上海）贸易有限公司,121.4878995,31.24916171
新程金锣肉制品有限公司,118.316868,35.25549596
镇宁路市场145号,121.4433652,31.22462605
宜山市场82号(尚金秀)（加盟）,120.5494301,27.51923149
上海志潘食品经营部,121.4878995,31.24916171
上海肯德基有限公司七莘餐厅,121.4468996,31.1994623
奉贤商业学校,121.5606417,30.91512245
上海桂江食品贸易有限公司,121.4878995,31.24916171
蒋明全蔬菜店,104.0420721,30.6551976
温州财富生活,120.6906347,28.00283759
洛阳偃师市高龙镇火神凹奶粉专卖,112.7202701,34.64033313
陕西秦宝牧业股份有限公司,109.5037893,35.86002626
上海市闵行区赢城便利店,121.4250243,31.09353754
上海必胜客有限公司车站南路店,121.4808068,31.30082688
美国蓝威斯顿,122.2613873,40.68351162
顾村绿地店,118.4274754,31.34007478
上海江杨农产品批发市场14,121.4644122,31.36429939
武汉良之隆营销管理有限公司上海分公司,114.3171424,30.60702546
上海市松江区岳阳街道罗杜芹熟食店,121.2425127,31.02185886
福山菜场4号,121.2034613,37.48107422
长岭菜场354号门面,123.8665043,44.30564453
迪亚芳华,113.4593035,23.11577786
春喜小吃,121.567007,29.88301364
唐行(联华),117.588382,37.64821334
石家庄信誉楼,114.5620871,38.44271933
上海誉龙食品公司,121.541643,31.22885162
丰谷279(伍缘折扣超市),121.4202035,31.0264623
万有全(黄精防）,121.5002598,31.18384059
佘山156(农工商),121.2052672,31.11740177
河南濮阳县胡状乡龙杰日用品门市,115.1524705,35.63704504
同济大学嘉定中点餐厅,121.2269038,31.28710955
吉食语公司,102.7343356,25.04420825
浦东新区康佳生鲜小菜店（单位加盟）,121.6384813,31.23089535
上浦店,121.511687,29.44215988
益海嘉里食品营销有限公司沈阳,123.4327909,41.80864478
马鞍山欧尚,118.5304086,31.67741982
上海宏隆面制品有限公司,121.3105707,31.46055774
北大荒米业集团上海食品有限公司(自有品牌部),126.7010493,45.75745062
上海闵行宝峰食品有限公司,121.4250243,31.09353754
科思创聚合物,113.6937141,34.79808106
封浜华联（专卖加盟）预付,121.3031358,31.26824384
上海冠业食品有限公司,121.2324079,31.00408166
康成投资（中国）有限公司,113.9059458,22.79768701
上海市青浦毓秀幼儿园,121.1574642,31.1617203
城中王,101.7773611,36.60664871
光明米业(集团)有限公司,118.3549235,32.14074374
上海峰剑贸易有限公司,121.4878995,31.24916171
罗山菜场14号,114.443563,32.0312303
上海必胜客有限公司青浦徐泾店,121.2900418,31.17430398
上海江杨农产品批发市场15,121.4644122,31.36429939
农贸市场,119.3238333,26.06002652
江西省德兴市百勤市异VC钠有限公司,117.9551791,29.10754599
塞拉尼斯(索迪斯),118.0056796,36.75337329
上海市闵行区杜成兵熟食店,121.4250243,31.09353754
澳乐(上海)餐饮公司猫头鹰(浦西),121.5069005,31.24339901
邵万生-洋泾店,121.5555574,31.24709114
安汾333(伍缘折扣超市),121.4202035,31.0264623
武昌16号,114.3536223,30.56486029
上海市嘉定区安亭镇有菊切面店,121.1703209,31.29974922
41.一钢餐饮公司（七食堂）(索迪斯),120.6788226,31.31218666
新二路二店499(伍缘),119.3368674,26.07954651
清水路小学-老师,121.2396242,31.38695066
上海市人民路1018号上海万有全大境菜市场156号摊位,121.489918,31.22796007
杭州新生食品有限公司,120.587071,30.35475835
缤谷广场一期,121.3929919,31.22025935
B1-0606a闵行区实验小学春城校区0901a①学生,121.3780541,31.11504126
上海真北批发市场,121.3787041,31.22941118
上海肯德基有限公司巨峰餐厅,121.5993973,31.28627034
